MEM driver,NIOM driver,MEM no driver,NIOM no driver
-0.0243,-54.663999999999994,-0.0031,-52.001999999999995
-0.0129,-55.345,0.0001,-53.416000000000004
-0.0067,-56.104,0.0049,-54.92100000000001
-0.0208,-56.797,-0.0104,-56.407
-0.0353,-57.39,-0.0312,-57.685
-0.0301,-58.136,-0.0343,-58.751999999999995
-0.0155,-59.098,-0.0222,-59.724
-0.0162,-60.091,-0.0219,-60.528999999999996
-0.0232,-60.943999999999996,-0.0335,-61.077
-0.0142,-61.685,-0.0271,-61.415
-0.0015,-62.407,-0.0053,-61.611999999999995
-0.0019,-63.068999999999996,0.0084,-61.727
-0.0067,-63.636,0.0134,-61.715
-0.0072,-64.165,0.0169,-61.711999999999996
-0.0056,-64.718,0.0209,-61.945
-0.0038,-65.264,0.0235,-62.36
-0.0034,-65.74,0.0239,-62.933
-0.005,-66.193,0.0253,-63.574
-0.0043,-66.76100000000001,0.0252,-64.031
0.0013,-67.423,0.0239,-64.28
0.002,-68.098,0.0266,-64.518
-0.0067,-68.767,0.0257,-64.843
-0.0035,-69.449,0.0211,-65.345
0.0141,-70.184,0.022000000000000002,-66.078
0.0148,-70.946,0.0208,-66.972
0.0009,-71.722,0.0144,-67.85
0.0011,-72.51100000000002,0.0148,-68.523
0.0093,-73.33800000000002,0.0232,-69.10600000000001
0.0072,-74.199,0.0316,-69.65
-0.0013,-75.0,0.0318,-70.036
-0.0044,-75.63,0.0246,-70.325
0.0011,-76.075,0.0293,-70.661
0.0011,-76.488,0.0391,-71.20100000000002
-0.0109,-76.949,0.0281,-71.98
-0.0151,-77.392,0.0127,-72.818
-0.0064,-77.78,0.016,-73.434
-0.0055,-78.179,0.022000000000000002,-73.697
-0.0159,-78.721,0.0169,-73.8
-0.0184,-79.317,0.0107,-73.94
-0.0031,-79.756,0.0159,-74.141
0.0102,-80.064,0.0274,-74.361
0.0036,-80.26,0.0237,-74.58
-0.0046,-80.34,0.0111,-74.867
0.0025,-80.431,0.0161,-75.241
0.0085,-80.616,0.0304,-75.639
-0.0002,-80.907,0.0298,-75.961
-0.0149,-81.226,0.0173,-76.09899999999998
-0.0191,-81.447,0.013999999999999999,-76.113
-0.009000000000000001,-81.528,0.027000000000000003,-76.175
-0.0057,-81.542,0.032,-76.235
-0.0183,-81.557,0.0161,-76.179
-0.0231,-81.575,0.0062,-76.12899999999998
-0.011000000000000001,-81.717,0.0174,-76.192
-0.0046,-82.04,0.0274,-76.286
-0.0133,-82.38,0.018000000000000002,-76.34100000000002
-0.0161,-82.667,0.0043,-76.454
0.0007,-82.89,0.0132,-76.777
0.0123,-82.90899999999998,0.033,-77.319
-0.0005,-82.73100000000002,0.0279,-77.9
-0.0124,-82.65799999999999,0.0101,-78.34899999999998
-0.0046,-82.678,0.0132,-78.635
0.0026,-82.471,0.0243,-78.742
-0.0023,-82.01299999999998,0.0202,-78.65
-0.0095,-81.321,0.0098,-78.405
-0.0108,-80.352,0.0077,-78.078
-0.0052,-79.182,0.0182,-77.79
-0.005,-77.81,0.0268,-77.65
-0.0158,-76.045,0.0162,-77.635
-0.0212,-73.831,0.002,-77.625
-0.0163,-71.306,0.0062,-77.539
-0.0138,-68.39699999999999,0.017,-77.408
-0.0143,-65.08800000000001,0.0171,-77.184
-0.0112,-61.595,0.0104,-76.794
-0.0036,-57.975,0.0107,-76.421
-0.0003,-54.19,0.0165,-76.23
-0.0048,-50.284,0.0125,-76.135
-0.0065,-46.40600000000001,0.0018,-76.074
-0.0016,-42.732,0.0018,-76.02199999999998
0.0009,-39.309,0.0125,-75.85
-0.0011,-36.101,0.0186,-75.45
-0.008,-33.022,0.0107,-74.848
-0.0131,-29.955,0.0005,-74.142
-0.006999999999999999,-26.803,0.0072,-73.32300000000002
-0.0057,-23.585,0.015,-72.40899999999998
-0.0175,-20.369,0.0048,-71.484
-0.0192,-17.171,-0.0015,-70.445
-0.0098,-14.030999999999999,0.0094,-69.265
-0.0103,-11.056,0.0151,-68.035
-0.0186,-8.3404,0.0053,-66.705
-0.0197,-5.9032,-0.0059,-65.193
-0.0099,-3.8132,-0.0049,-63.533
-0.0028,-2.0815,0.0019,-61.788999999999994
-0.0093,-0.5512199999999999,-0.0008,-60.04
-0.013999999999999999,0.9160200000000001,-0.0065,-58.394
-0.0037,2.3003,-0.0025,-56.757
0.0035,3.5919,0.0037,-54.99100000000001
-0.0064,4.7401,0.0028,-53.007
-0.0196,5.5835,-0.004,-50.81399999999999
-0.0196,6.1847,-0.0087,-48.552
-0.0147,6.6463,-0.0061,-46.20399999999999
-0.021,6.9656,-0.0064,-43.678999999999995
-0.0302,7.2784,-0.0128,-40.946
-0.0261,7.6067,-0.0102,-38.044000000000004
-0.0153,7.879,-0.0003,-35.149
-0.0126,8.1189,0.0024,-32.361999999999995
-0.0193,8.2375,-0.0035,-29.613000000000003
-0.0255,8.2621,-0.0141,-26.929000000000002
-0.0187,8.3409,-0.0165,-24.46
-0.006999999999999999,8.4822,-0.0061,-22.253
-0.0104,8.6422,-0.0047,-20.239
-0.0178,8.7395,-0.0137,-18.447
-0.0068,8.6825,-0.0101,-16.837
0.0033,8.4585,-0.0015,-15.241
-0.0082,8.1119,-0.0074,-13.686
-0.0201,7.6877,-0.0173,-12.147
-0.0116,7.2843,-0.0143,-10.577
0.0015,6.9622,-0.0009,-9.0721
-0.0062,6.5897,0.0039,-7.6127
-0.0255,6.0894,-0.0083,-6.1759
-0.0289,5.5569,-0.0195,-4.8529
-0.0196,5.0659,-0.0146,-3.6180000000000003
-0.0161,4.6438,-0.0057,-2.4176
-0.0196,4.1882,-0.0123,-1.2894
-0.0186,3.5792,-0.0273,-0.23922
-0.0074,2.8371,-0.0237,0.68034
-0.003,1.953,-0.0092,1.4108
-0.0141,1.0325,-0.0127,2.0364
-0.0156,0.22196,-0.0213,2.6479
-0.0002,-0.46535,-0.0136,3.1903
0.0056,-1.095,-0.0046,3.7132
-0.0079,-1.7544,-0.0078,4.3351
-0.0227,-2.406,-0.0181,4.8654
-0.0193,-3.1405,-0.024,5.0695
-0.0044,-4.0301,-0.0158,4.967
-0.0059,-4.9494,-0.0066,4.7014
-0.024,-5.8705,-0.0135,4.4893
-0.0287,-6.8517,-0.025,4.4407
-0.0169,-7.9493,-0.0223,4.4178
-0.0147,-9.2183,-0.0111,4.247
-0.0258,-10.722000000000001,-0.0119,3.9355
-0.0276,-12.347999999999999,-0.0259,3.5886
-0.0137,-13.936,-0.0257,3.2466
-0.0076,-15.487,-0.0111,2.9254
-0.0178,-17.012,-0.0152,2.6509
-0.0216,-18.512999999999998,-0.0311,2.4543
-0.0112,-20.008,-0.0257,2.2757
-0.0081,-21.458000000000002,-0.0112,1.9386
-0.0228,-22.878,-0.0156,1.3412
-0.0425,-24.410999999999998,-0.0294,0.54991
-0.0511,-26.055999999999997,-0.0291,-0.34292
-0.0555,-27.546,-0.0203,-1.247
-0.0746,-28.74,-0.0253,-2.0563
-0.0964,-29.877,-0.04,-2.8448
-0.0985,-31.048000000000002,-0.0423,-3.6809
-0.0904,-32.06,-0.035,-4.4752
-0.0853,-32.921,-0.0365,-5.3095
-0.0795,-33.851,-0.0486,-6.1969
-0.0707,-34.986999999999995,-0.0593,-6.9060000000000015
-0.0505,-36.2,-0.0553,-7.4432
-0.0084,-37.42,-0.043,-7.9988
0.0423,-38.705,-0.0446,-8.6301
0.0821,-40.025,-0.0555,-9.357999999999999
0.1099,-41.302,-0.0525,-10.28
0.1262,-42.382,-0.0393,-11.357000000000001
0.1214,-43.292,-0.036000000000000004,-12.468
0.1007,-44.18,-0.0462,-13.677999999999999
0.0918,-44.958999999999996,-0.0501,-14.925999999999998
0.0973,-45.636,-0.0323,-15.999
0.0893,-46.393,-0.0161,-17.006
0.0745,-47.137,-0.0198,-18.131
0.0795,-47.821999999999996,-0.018000000000000002,-19.234
0.0875,-48.582,-0.0006,-20.26
0.0725,-49.39,0.0062,-21.375
0.0495,-50.23,-0.0068,-22.570999999999998
0.0431,-51.16,-0.0199,-23.673000000000002
0.0478,-52.099,-0.0203,-24.631999999999998
0.037000000000000005,-52.76600000000001,-0.0218,-25.644000000000002
0.0119,-53.066,-0.0369,-26.743000000000002
0.0047,-53.24800000000001,-0.0491,-27.721999999999998
0.0179,-53.493,-0.0418,-28.455
0.0221,-53.86600000000001,-0.025,-29.066999999999997
0.006999999999999999,-54.428999999999995,-0.0201,-29.719
-0.0106,-55.18,-0.036000000000000004,-30.354
-0.0109,-56.06100000000001,-0.0488,-31.015
-0.0013,-57.028999999999996,-0.0369,-31.771
-0.004,-58.062,-0.0226,-32.533
-0.0103,-58.966,-0.0208,-33.31
-0.0039,-59.65,-0.0131,-34.093
0.0023,-60.35,-0.0019,-34.868
-0.0044,-61.135,-0.0059,-35.685
-0.0168,-61.68600000000001,-0.0199,-36.45
-0.0169,-61.957,-0.0279,-37.135999999999996
-0.0009,-62.291000000000004,-0.021,-37.775999999999996
0.0026,-62.813,-0.0091,-38.333
-0.0174,-63.541000000000004,-0.011000000000000001,-38.958
-0.0271,-64.461,-0.019,-39.753
-0.0143,-65.389,-0.0161,-40.603
-0.0068,-66.07,-0.0079,-41.51600000000001
-0.0123,-66.342,-0.0014,-42.54600000000001
-0.0142,-66.282,0.0037,-43.527
-0.0056,-66.04899999999999,0.0113,-44.375
0.0043,-65.736,0.0256,-45.3
0.0022,-65.47399999999999,0.0321,-46.351000000000006
-0.0075,-65.36,0.0186,-47.348
-0.0066,-65.45,0.0071,-48.302
0.004,-65.79,0.0164,-49.361999999999995
0.0054,-66.294,0.0287,-50.375
-0.0047,-66.857,0.0233,-51.122
-0.0062,-67.499,0.013999999999999999,-51.678000000000004
0.0072,-68.23,0.024,-52.132
0.0105,-68.975,0.0359,-52.482
-0.0021,-69.632,0.0262,-52.788999999999994
-0.0019,-70.217,0.0161,-53.141999999999996
0.0135,-70.839,0.0254,-53.396
0.0167,-71.446,0.0358,-53.494
0.0044,-71.938,0.0331,-53.681000000000004
-0.0041,-72.297,0.0249,-54.016999999999996
0.0018,-72.551,0.023,-54.43600000000001
0.0077,-72.86399999999998,0.0274,-54.878
-0.004,-73.42399999999998,0.0241,-55.291000000000004
-0.0171,-74.10300000000002,0.0125,-55.591
-0.0099,-74.657,0.0109,-55.728
0.0042,-75.12100000000002,0.0215,-55.797
0.0048,-75.57300000000002,0.0277,-55.87600000000001
-0.0066,-75.96,0.0191,-55.958
-0.0112,-76.426,0.0088,-55.949
0.0002,-77.15899999999998,0.0175,-55.87300000000001
0.0074,-78.10600000000002,0.031,-55.714
-0.0001,-79.207,0.027000000000000003,-55.448
-0.003,-80.37,0.0218,-55.305
0.0048,-81.348,0.0309,-55.415
0.0074,-82.02,0.0365,-55.754
-0.0006,-82.555,0.0286,-56.37600000000001
-0.0085,-83.081,0.0176,-57.301
-0.0041,-83.581,0.0175,-58.345
0.0018,-84.085,0.0273,-59.33
-0.0087,-84.598,0.0252,-60.107
-0.0211,-85.11200000000002,0.0107,-60.562
-0.0181,-85.675,0.006,-60.841
-0.011000000000000001,-86.221,0.0116,-61.089
-0.0098,-86.539,0.0163,-61.387
-0.0129,-86.63799999999998,0.0184,-61.81
-0.0118,-86.751,0.0172,-62.236000000000004
-0.0009,-86.9,0.0182,-62.523
0.0031,-86.928,0.0229,-62.744
-0.009000000000000001,-86.87299999999998,0.0213,-63.0
-0.0163,-86.848,0.0166,-63.287
-0.0097,-86.848,0.0193,-63.494
-0.0033,-86.911,0.0242,-63.571999999999996
-0.0047,-87.055,0.0219,-63.799
-0.011000000000000001,-87.181,0.0131,-64.28699999999999
-0.0122,-87.213,0.0114,-64.744
-0.0066,-87.16799999999998,0.0205,-65.071
-0.0097,-87.167,0.0202,-65.357
-0.019,-87.24600000000002,0.0087,-65.596
-0.0151,-87.195,0.0094,-65.74600000000001
-0.0036,-86.954,0.0189,-65.847
-0.0056,-86.654,0.0141,-66.009
-0.0182,-86.199,-0.0013,-66.351
-0.0164,-85.527,-0.0008,-66.906
-0.0019,-84.745,0.0178,-67.544
-0.0023,-83.79700000000003,0.0228,-68.164
-0.0108,-82.48200000000001,0.0098,-68.859
-0.006,-80.663,0.0073,-69.65899999999999
-0.0007,-78.318,0.0167,-70.479
-0.0066,-75.378,0.0183,-71.292
-0.0142,-71.797,0.0112,-72.071
-0.0169,-67.837,0.004,-72.755
-0.0115,-63.733999999999995,0.0064,-73.282
-0.0057,-59.46,0.0134,-73.584
-0.0123,-55.034,0.0064,-73.571
-0.0214,-50.62300000000001,-0.0057,-73.247
-0.0195,-46.343,-0.0011,-72.756
-0.0137,-42.193999999999996,0.0091,-72.278
-0.0146,-38.134,0.0084,-71.893
-0.0203,-34.08,0.0016,-71.442
